statut_compte_courant;duree_mois;credit_history;objectif_credit;montant_credit;etat_epargne;anciennete_emploi;taux_remboursement;situation_personnelle;autres_garants;anciennete_logement;importance_biens;age;autres_plans_paiement;type_logement;nombre_credits_existants;categorie_emploi;nombre_personnes_a_charge;possede_telephone;travailleur_etranger;classe
pas_de_compte;18;critique/autre crédit existant;radio/tv;1582;>=1000;>=7;4;homme célibataire;aucun;4;voiture;46;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;6;existant remboursé;radio/tv;1346;100<=X<500;>=7;2;homme célibataire;aucun;4;pas de propriété;42;banque;gratuit;1;qualifié;2;oui;oui;bon
pas_de_compte;10;existant remboursé;radio/tv;1924;<100;1<=X<4;1;homme célibataire;aucun;4;assurance vie;38;aucun;propriétaire;1;qualifié;1;oui;non;bon
>=200;36;existant remboursé;radio/tv;5848;<100;1<=X<4;4;homme célibataire;aucun;1;voiture;24;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;24;critique/autre crédit existant;voiture occasion;7758;>=1000;>=7;2;femme div/dép/mariée;aucun;4;pas de propriété;29;aucun;locataire;1;qualifié;1;aucun;oui;bon
0<=X<200;24;retards antérieurs;affaires;6967;100<=X<500;4<=X<7;4;homme célibataire;aucun;4;voiture;36;aucun;locataire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
<0;12;existant remboursé;meubles/équipement;1282;<100;1<=X<4;2;femme div/dép/mariée;aucun;4;voiture;20;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
<0;9;critique/autre crédit existant;réparations;1288;100<=X<500;>=7;3;homme célibataire;garant;4;immobilier;48;aucun;propriétaire;2;qualifié;2;aucun;non;bon
<0;12;tout remboursé;formation professionnelle;339;<100;>=7;4;homme marié/veuf;aucun;1;voiture;45;banque;propriétaire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;24;existant remboursé;nouvelle voiture;3512;100<=X<500;4<=X<7;2;homme célibataire;aucun;3;voiture;38;banque;propriétaire;2;qualifié;1;oui;oui;bon
pas_de_compte;6;critique/autre crédit existant;radio/tv;1898;épargne inconnue;1<=X<4;1;homme célibataire;aucun;2;immobilier;34;aucun;propriétaire;2;unqualifié resident;2;aucun;oui;bon
pas_de_compte;24;critique/autre crédit existant;radio/tv;2872;100<=X<500;>=7;3;homme célibataire;aucun;4;immobilier;36;aucun;propriétaire;1;qualifié;2;oui;oui;bon
pas_de_compte;18;critique/autre crédit existant;nouvelle voiture;1055;<100;<1;4;femme div/dép/mariée;aucun;1;assurance vie;30;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;15;existant remboursé;électroménager;1262;500<=X<1000;4<=X<7;4;homme célibataire;aucun;3;assurance vie;36;aucun;propriétaire;2;qualifié;1;oui;oui;bon
0<=X<200;10;existant remboursé;nouvelle voiture;7308;<100;sans emploi;2;homme célibataire;aucun;4;pas de propriété;70;banque;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;36;existant remboursé;nouvelle voiture;909;500<=X<1000;>=7;4;homme célibataire;aucun;4;assurance vie;36;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;6;existant remboursé;meubles/équipement;2978;500<=X<1000;1<=X<4;1;homme célibataire;aucun;2;voiture;32;aucun;propriétaire;1;qualifié;1;oui;oui;bon
<0;18;existant remboursé;meubles/équipement;1131;<100;sans emploi;4;femme div/dép/mariée;aucun;2;voiture;33;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;11;existant remboursé;meubles/équipement;1577;>=1000;<1;4;femme div/dép/mariée;aucun;1;immobilier;20;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;24;existant remboursé;meubles/équipement;3972;<100;4<=X<7;2;femme div/dép/mariée;aucun;4;assurance vie;25;aucun;locataire;1;qualifié;1;oui;oui;bon
0<=X<200;24;critique/autre crédit existant;affaires;1935;<100;>=7;4;homme divorcé/séparé;aucun;4;immobilier;31;aucun;propriétaire;2;qualifié;1;oui;oui;mauvais
<0;15;aucun crédit/tout remboursé;nouvelle voiture;950;<100;>=7;4;homme célibataire;aucun;3;voiture;33;aucun;locataire;2;qualifié;2;aucun;oui;mauvais
pas_de_compte;12;existant remboursé;meubles/équipement;763;<100;1<=X<4;4;femme div/dép/mariée;aucun;1;immobilier;26;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;24;retards antérieurs;meubles/équipement;2064;<100;sans emploi;3;femme div/dép/mariée;aucun;2;assurance vie;34;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
0<=X<200;8;existant remboursé;radio/tv;1414;<100;1<=X<4;4;homme célibataire;garant;2;immobilier;33;aucun;propriétaire;1;qualifié;1;aucun;non;bon
<0;21;retards antérieurs;études;3414;<100;<1;2;homme célibataire;aucun;1;assurance vie;26;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
pas_de_compte;30;tout remboursé;voiture occasion;7485;épargne inconnue;sans emploi;4;femme div/dép/mariée;aucun;1;immobilier;53;banque;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
<0;12;existant remboursé;meubles/équipement;2577;<100;1<=X<4;2;homme divorcé/séparé;aucun;1;voiture;42;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;6;critique/autre crédit existant;radio/tv;338;500<=X<1000;>=7;4;homme célibataire;aucun;4;voiture;52;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;1963;<100;4<=X<7;4;homme célibataire;aucun;2;voiture;31;aucun;locataire;2;hautement qualifié/indépendant/cadre;2;oui;oui;bon
<0;21;critique/autre crédit existant;nouvelle voiture;571;<100;>=7;4;homme célibataire;aucun;4;immobilier;65;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;36;retards antérieurs;affaires;9572;<100;<1;1;homme divorcé/séparé;aucun;1;voiture;28;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
0<=X<200;36;retards antérieurs;affaires;4455;<100;1<=X<4;2;homme divorcé/séparé;aucun;2;immobilier;30;magasins;propriétaire;2;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
<0;21;tout remboursé;nouvelle voiture;1647;épargne inconnue;1<=X<4;4;homme célibataire;aucun;2;assurance vie;40;aucun;propriétaire;2;unqualifié resident;2;aucun;oui;mauvais
pas_de_compte;24;critique/autre crédit existant;meubles/équipement;3777;>=1000;1<=X<4;4;homme célibataire;aucun;4;immobilier;50;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;18;critique/autre crédit existant;nouvelle voiture;884;<100;>=7;4;homme célibataire;aucun;4;voiture;36;banque;propriétaire;1;qualifié;2;oui;oui;mauvais
pas_de_compte;15;critique/autre crédit existant;radio/tv;1360;<100;1<=X<4;4;homme célibataire;aucun;2;assurance vie;31;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
0<=X<200;9;tout remboursé;voiture occasion;5129;<100;>=7;2;femme div/dép/mariée;aucun;4;pas de propriété;74;banque;gratuit;1;hautement qualifié/indépendant/cadre;2;oui;oui;mauvais
0<=X<200;16;critique/autre crédit existant;nouvelle voiture;1175;<100;sans emploi;2;homme célibataire;aucun;3;voiture;68;aucun;gratuit;3;sans emploi/non qualif non résident;1;oui;oui;bon
<0;12;existant remboursé;radio/tv;674;100<=X<500;4<=X<7;4;homme marié/veuf;aucun;1;assurance vie;20;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;18;aucun crédit/tout remboursé;meubles/équipement;3244;<100;1<=X<4;1;femme div/dép/mariée;aucun;4;voiture;33;banque;propriétaire;2;qualifié;1;oui;oui;bon
pas_de_compte;24;existant remboursé;affaires;4591;>=1000;1<=X<4;2;homme célibataire;aucun;3;assurance vie;54;aucun;propriétaire;3;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
0<=X<200;48;aucun crédit/tout remboursé;affaires;3844;100<=X<500;4<=X<7;4;homme célibataire;aucun;4;pas de propriété;34;aucun;gratuit;1;unqualifié resident;2;aucun;oui;mauvais
0<=X<200;27;existant remboursé;affaires;3915;<100;1<=X<4;4;homme célibataire;aucun;2;voiture;36;aucun;propriétaire;1;qualifié;2;oui;oui;mauvais
pas_de_compte;6;existant remboursé;radio/tv;2108;<100;4<=X<7;2;homme marié/veuf;aucun;2;immobilier;29;aucun;locataire;1;qualifié;1;aucun;oui;bon
0<=X<200;45;existant remboursé;radio/tv;3031;100<=X<500;1<=X<4;4;homme célibataire;garant;4;assurance vie;21;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;9;critique/autre crédit existant;études;1501;<100;>=7;2;femme div/dép/mariée;aucun;3;voiture;34;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;6;critique/autre crédit existant;radio/tv;1382;<100;1<=X<4;1;femme div/dép/mariée;aucun;1;voiture;28;aucun;propriétaire;2;qualifié;1;oui;oui;bon
0<=X<200;12;existant remboursé;meubles/équipement;951;100<=X<500;<1;4;femme div/dép/mariée;aucun;4;voiture;27;banque;locataire;4;qualifié;1;aucun;oui;mauvais
0<=X<200;24;existant remboursé;voiture occasion;2760;épargne inconnue;>=7;4;homme célibataire;aucun;4;pas de propriété;36;banque;gratuit;1;qualifié;1;oui;oui;bon
0<=X<200;18;retards antérieurs;meubles/équipement;4297;<100;>=7;4;homme divorcé/séparé;aucun;3;pas de propriété;40;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;9;critique/autre crédit existant;études;936;500<=X<1000;>=7;4;homme célibataire;aucun;2;voiture;52;aucun;propriétaire;2;qualifié;1;oui;oui;bon
<0;12;existant remboursé;nouvelle voiture;1168;<100;1<=X<4;4;homme marié/veuf;aucun;3;immobilier;27;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;27;retards antérieurs;affaires;5117;<100;4<=X<7;3;homme célibataire;aucun;4;voiture;26;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
<0;12;existant remboursé;formation professionnelle;902;<100;4<=X<7;4;homme marié/veuf;aucun;4;assurance vie;21;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;nouvelle voiture;1495;<100;>=7;4;homme célibataire;aucun;1;immobilier;38;aucun;propriétaire;2;unqualifié resident;2;aucun;oui;bon
<0;30;critique/autre crédit existant;voiture occasion;10623;<100;>=7;3;homme célibataire;aucun;4;pas de propriété;38;aucun;gratuit;3;hautement qualifié/indépendant/cadre;2;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;meubles/équipement;1935;<100;>=7;4;homme célibataire;aucun;4;immobilier;43;aucun;propriétaire;3;qualifié;1;oui;oui;bon
0<=X<200;12;critique/autre crédit existant;électroménager;1424;<100;4<=X<7;4;homme célibataire;aucun;3;assurance vie;26;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;24;existant remboursé;affaires;6568;<100;1<=X<4;2;homme marié/veuf;aucun;2;voiture;21;magasins;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;12;existant remboursé;voiture occasion;1413;>=1000;4<=X<7;3;homme célibataire;aucun;2;assurance vie;55;aucun;propriétaire;1;qualifié;1;aucun;non;bon
pas_de_compte;9;critique/autre crédit existant;radio/tv;3074;épargne inconnue;1<=X<4;1;homme célibataire;aucun;2;immobilier;33;aucun;propriétaire;2;qualifié;2;aucun;oui;bon
pas_de_compte;36;existant remboursé;radio/tv;3835;épargne inconnue;>=7;2;femme div/dép/mariée;aucun;4;immobilier;45;aucun;propriétaire;1;unqualifié resident;1;oui;oui;bon
<0;27;aucun crédit/tout remboursé;affaires;5293;<100;sans emploi;2;homme célibataire;aucun;4;assurance vie;50;magasins;propriétaire;2;qualifié;1;oui;oui;mauvais
>=200;30;retards antérieurs;affaires;1908;<100;>=7;4;homme célibataire;aucun;4;immobilier;66;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;36;critique/autre crédit existant;radio/tv;3342;épargne inconnue;>=7;4;homme célibataire;aucun;2;voiture;51;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;6;critique/autre crédit existant;formation professionnelle;932;épargne inconnue;4<=X<7;1;femme div/dép/mariée;aucun;3;assurance vie;39;aucun;propriétaire;2;unqualifié resident;1;aucun;oui;bon
<0;18;aucun crédit/tout remboursé;affaires;3104;<100;4<=X<7;3;homme célibataire;aucun;1;assurance vie;31;banque;propriétaire;1;qualifié;1;oui;oui;bon
>=200;36;existant remboursé;radio/tv;3913;<100;1<=X<4;2;homme célibataire;aucun;2;immobilier;23;aucun;propriétaire;1;qualifié;1;oui;oui;bon
<0;24;existant remboursé;meubles/équipement;3021;<100;1<=X<4;2;homme divorcé/séparé;aucun;2;immobilier;24;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;10;existant remboursé;nouvelle voiture;1364;<100;1<=X<4;2;femme div/dép/mariée;aucun;4;voiture;64;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;12;existant remboursé;radio/tv;625;<100;<1;4;homme marié/veuf;garant;1;immobilier;26;banque;propriétaire;1;unqualifié resident;1;aucun;oui;bon
<0;12;existant remboursé;études;1200;épargne inconnue;1<=X<4;4;femme div/dép/mariée;aucun;4;assurance vie;23;banque;locataire;1;qualifié;1;oui;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;707;<100;1<=X<4;4;homme célibataire;aucun;2;immobilier;30;banque;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;24;retards antérieurs;affaires;2978;épargne inconnue;1<=X<4;4;homme célibataire;aucun;4;immobilier;32;aucun;propriétaire;2;qualifié;2;oui;oui;bon
pas_de_compte;15;existant remboursé;voiture occasion;4657;<100;1<=X<4;3;homme célibataire;aucun;2;voiture;30;aucun;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;36;aucun crédit/tout remboursé;réparations;2613;<100;1<=X<4;4;homme célibataire;aucun;2;voiture;27;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
0<=X<200;48;existant remboursé;radio/tv;10961;>=1000;4<=X<7;1;homme célibataire;co-emprunteur;2;pas de propriété;27;banque;propriétaire;2;qualifié;1;oui;oui;mauvais
<0;12;existant remboursé;meubles/équipement;7865;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;53;aucun;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;9;existant remboursé;radio/tv;1478;<100;4<=X<7;4;homme célibataire;aucun;2;voiture;22;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
<0;24;existant remboursé;meubles/équipement;3149;<100;<1;4;homme célibataire;aucun;1;pas de propriété;22;banque;gratuit;1;qualifié;1;aucun;oui;bon
>=200;36;existant remboursé;radio/tv;4210;<100;1<=X<4;4;homme célibataire;aucun;2;voiture;26;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;9;existant remboursé;nouvelle voiture;2507;500<=X<1000;>=7;2;homme célibataire;aucun;4;pas de propriété;51;aucun;gratuit;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;2141;100<=X<500;4<=X<7;3;homme célibataire;aucun;1;pas de propriété;35;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;18;existant remboursé;radio/tv;866;<100;1<=X<4;4;homme marié/veuf;garant;2;immobilier;25;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;4;critique/autre crédit existant;radio/tv;1544;<100;4<=X<7;2;homme célibataire;aucun;1;immobilier;42;aucun;propriétaire;3;unqualifié resident;2;aucun;oui;bon
<0;24;existant remboursé;radio/tv;1823;<100;sans emploi;4;homme célibataire;aucun;2;voiture;30;magasins;propriétaire;1;hautement qualifié/indépendant/cadre;2;aucun;oui;mauvais
0<=X<200;6;existant remboursé;nouvelle voiture;14555;épargne inconnue;sans emploi;1;homme célibataire;aucun;2;assurance vie;23;aucun;propriétaire;1;sans emploi/non qualif non résident;1;oui;oui;mauvais
0<=X<200;21;existant remboursé;affaires;2767;100<=X<500;>=7;4;homme divorcé/séparé;aucun;2;voiture;61;banque;locataire;2;unqualifié resident;1;aucun;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;radio/tv;1291;<100;1<=X<4;4;femme div/dép/mariée;aucun;2;assurance vie;35;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
<0;30;existant remboursé;radio/tv;2522;<100;>=7;1;homme célibataire;garant;3;assurance vie;39;aucun;propriétaire;1;qualifié;2;aucun;oui;bon
<0;24;existant remboursé;nouvelle voiture;915;épargne inconnue;>=7;4;femme div/dép/mariée;aucun;2;voiture;29;banque;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;6;existant remboursé;radio/tv;1595;<100;4<=X<7;3;homme célibataire;aucun;2;assurance vie;51;aucun;propriétaire;1;qualifié;2;aucun;oui;bon
<0;48;aucun crédit/tout remboursé;voiture occasion;4605;<100;>=7;3;homme célibataire;aucun;4;pas de propriété;24;aucun;gratuit;2;qualifié;2;aucun;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;affaires;1185;<100;1<=X<4;3;femme div/dép/mariée;aucun;2;immobilier;27;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;12;tout remboursé;formation professionnelle;3447;500<=X<1000;1<=X<4;4;femme div/dép/mariée;aucun;3;immobilier;35;aucun;propriétaire;1;unqualifié resident;2;aucun;oui;bon
pas_de_compte;24;existant remboursé;affaires;1258;<100;4<=X<7;4;homme célibataire;aucun;1;immobilier;25;aucun;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;radio/tv;717;<100;>=7;4;homme célibataire;aucun;4;immobilier;52;aucun;propriétaire;3;qualifié;1;aucun;oui;bon
pas_de_compte;6;aucun crédit/tout remboursé;nouvelle voiture;1204;100<=X<500;1<=X<4;4;homme célibataire;aucun;1;pas de propriété;35;banque;locataire;1;qualifié;1;aucun;non;bon
>=200;24;existant remboursé;meubles/équipement;1925;<100;1<=X<4;2;homme célibataire;aucun;2;immobilier;26;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;18;existant remboursé;radio/tv;433;<100;sans emploi;3;femme div/dép/mariée;co-emprunteur;4;immobilier;22;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
<0;6;critique/autre crédit existant;nouvelle voiture;666;>=1000;4<=X<7;3;femme div/dép/mariée;aucun;4;immobilier;39;aucun;propriétaire;2;unqualifié resident;1;oui;oui;bon
>=200;12;existant remboursé;meubles/équipement;2251;<100;1<=X<4;1;femme div/dép/mariée;aucun;2;voiture;46;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;30;existant remboursé;nouvelle voiture;2150;<100;1<=X<4;4;femme div/dép/mariée;garant;2;pas de propriété;24;banque;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;24;retards antérieurs;meubles/équipement;4151;100<=X<500;1<=X<4;2;homme célibataire;aucun;3;assurance vie;35;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
0<=X<200;9;existant remboursé;meubles/équipement;2030;épargne inconnue;4<=X<7;2;homme célibataire;aucun;1;voiture;24;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;60;retards antérieurs;radio/tv;7418;épargne inconnue;1<=X<4;1;homme célibataire;aucun;1;immobilier;27;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;24;critique/autre crédit existant;radio/tv;2684;<100;1<=X<4;4;homme célibataire;aucun;2;immobilier;35;aucun;propriétaire;2;unqualifié resident;1;aucun;oui;bon
<0;12;tout remboursé;radio/tv;2149;<100;1<=X<4;4;homme divorcé/séparé;aucun;1;pas de propriété;29;aucun;gratuit;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;15;existant remboursé;voiture occasion;3812;100<=X<500;<1;1;femme div/dép/mariée;aucun;4;voiture;23;aucun;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;11;critique/autre crédit existant;radio/tv;1154;100<=X<500;sans emploi;4;femme div/dép/mariée;aucun;4;immobilier;57;aucun;propriétaire;3;unqualifié resident;1;aucun;oui;bon
<0;12;existant remboursé;meubles/équipement;1657;<100;1<=X<4;2;homme célibataire;aucun;2;immobilier;27;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;24;existant remboursé;radio/tv;1603;<100;>=7;4;femme div/dép/mariée;aucun;4;voiture;55;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;18;critique/autre crédit existant;nouvelle voiture;5302;<100;>=7;2;homme célibataire;aucun;4;pas de propriété;36;aucun;gratuit;3;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;études;2748;<100;>=7;2;femme div/dép/mariée;aucun;4;pas de propriété;57;banque;gratuit;3;unqualifié resident;1;aucun;oui;bon
pas_de_compte;10;critique/autre crédit existant;nouvelle voiture;1231;<100;>=7;3;homme célibataire;aucun;4;immobilier;32;aucun;propriétaire;2;unqualifié resident;2;aucun;non;bon
0<=X<200;15;existant remboursé;radio/tv;802;<100;>=7;4;homme célibataire;aucun;3;voiture;37;aucun;propriétaire;1;qualifié;2;aucun;oui;mauvais
pas_de_compte;36;critique/autre crédit existant;affaires;6304;épargne inconnue;>=7;4;homme célibataire;aucun;4;immobilier;36;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;24;existant remboursé;radio/tv;1533;<100;<1;4;femme div/dép/mariée;aucun;3;voiture;38;magasins;propriétaire;1;qualifié;1;oui;oui;bon
<0;14;existant remboursé;nouvelle voiture;8978;<100;>=7;1;homme divorcé/séparé;aucun;4;assurance vie;45;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;non;mauvais
pas_de_compte;24;existant remboursé;radio/tv;999;épargne inconnue;>=7;4;homme célibataire;aucun;2;voiture;25;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
pas_de_compte;18;existant remboursé;nouvelle voiture;2662;épargne inconnue;4<=X<7;4;homme célibataire;aucun;3;assurance vie;32;aucun;propriétaire;1;qualifié;1;aucun;non;bon
pas_de_compte;12;critique/autre crédit existant;meubles/équipement;1402;500<=X<1000;4<=X<7;3;femme div/dép/mariée;aucun;4;voiture;37;aucun;locataire;1;qualifié;1;oui;oui;bon
0<=X<200;48;tout remboursé;nouvelle voiture;12169;épargne inconnue;sans emploi;4;homme célibataire;co-emprunteur;4;pas de propriété;36;aucun;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
0<=X<200;48;existant remboursé;radio/tv;3060;<100;4<=X<7;4;homme célibataire;aucun;4;immobilier;28;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
<0;30;existant remboursé;réparations;11998;<100;<1;1;homme divorcé/séparé;aucun;1;pas de propriété;34;aucun;propriétaire;1;unqualifié resident;1;oui;oui;mauvais
pas_de_compte;9;existant remboursé;radio/tv;2697;<100;1<=X<4;1;homme célibataire;aucun;2;immobilier;32;aucun;propriétaire;1;qualifié;2;aucun;oui;bon
pas_de_compte;18;critique/autre crédit existant;radio/tv;2404;<100;1<=X<4;2;femme div/dép/mariée;aucun;2;voiture;26;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
<0;12;existant remboursé;meubles/équipement;1262;épargne inconnue;>=7;2;homme divorcé/séparé;aucun;4;assurance vie;49;aucun;propriétaire;1;unqualifié resident;1;oui;oui;bon
pas_de_compte;6;existant remboursé;meubles/équipement;4611;<100;<1;1;femme div/dép/mariée;aucun;4;assurance vie;32;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;24;existant remboursé;radio/tv;1901;100<=X<500;1<=X<4;4;homme célibataire;aucun;4;voiture;29;aucun;locataire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;15;critique/autre crédit existant;voiture occasion;3368;>=1000;>=7;3;homme célibataire;aucun;4;pas de propriété;23;aucun;locataire;2;qualifié;1;oui;oui;bon
pas_de_compte;12;existant remboursé;meubles/équipement;1574;<100;1<=X<4;4;homme célibataire;aucun;2;immobilier;50;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
>=200;18;tout remboursé;radio/tv;1445;épargne inconnue;4<=X<7;4;homme célibataire;aucun;4;voiture;49;banque;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;15;critique/autre crédit existant;meubles/équipement;1520;épargne inconnue;>=7;4;homme célibataire;aucun;4;assurance vie;63;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;24;critique/autre crédit existant;nouvelle voiture;3878;100<=X<500;<1;4;homme divorcé/séparé;aucun;2;voiture;37;aucun;propriétaire;1;qualifié;1;oui;oui;bon
<0;47;existant remboursé;nouvelle voiture;10722;<100;<1;1;femme div/dép/mariée;aucun;1;immobilier;35;aucun;propriétaire;1;unqualifié resident;1;oui;oui;bon
<0;48;existant remboursé;voiture occasion;4788;<100;4<=X<7;4;homme célibataire;aucun;3;assurance vie;26;aucun;propriétaire;1;qualifié;2;aucun;oui;bon
0<=X<200;48;retards antérieurs;autre;7582;100<=X<500;sans emploi;2;homme célibataire;aucun;4;pas de propriété;31;aucun;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
0<=X<200;12;existant remboursé;radio/tv;1092;<100;1<=X<4;4;femme div/dép/mariée;garant;4;immobilier;49;aucun;propriétaire;2;qualifié;1;oui;oui;bon
<0;24;retards antérieurs;radio/tv;1024;<100;<1;4;homme marié/veuf;aucun;4;immobilier;48;magasins;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;12;existant remboursé;affaires;1076;<100;1<=X<4;2;homme marié/veuf;aucun;2;immobilier;26;aucun;propriétaire;1;qualifié;1;oui;non;bon
0<=X<200;36;existant remboursé;voiture occasion;9398;<100;<1;1;homme marié/veuf;aucun;4;voiture;28;aucun;locataire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
<0;24;critique/autre crédit existant;voiture occasion;6419;<100;>=7;2;femme div/dép/mariée;aucun;4;pas de propriété;44;aucun;gratuit;2;hautement qualifié/indépendant/cadre;2;oui;oui;bon
>=200;42;critique/autre crédit existant;voiture occasion;4796;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;56;aucun;gratuit;1;qualifié;1;aucun;oui;bon
pas_de_compte;48;critique/autre crédit existant;affaires;7629;épargne inconnue;>=7;4;homme divorcé/séparé;aucun;2;voiture;46;banque;propriétaire;2;hautement qualifié/indépendant/cadre;2;aucun;oui;bon
0<=X<200;48;existant remboursé;meubles/équipement;9960;<100;<1;1;femme div/dép/mariée;aucun;2;voiture;26;aucun;propriétaire;1;qualifié;1;oui;oui;mauvais
pas_de_compte;12;existant remboursé;voiture occasion;4675;épargne inconnue;<1;1;femme div/dép/mariée;aucun;4;voiture;20;aucun;locataire;1;qualifié;1;aucun;oui;bon
pas_de_compte;10;existant remboursé;nouvelle voiture;1287;épargne inconnue;>=7;4;homme célibataire;co-emprunteur;2;assurance vie;45;aucun;propriétaire;1;unqualifié resident;1;aucun;non;bon
pas_de_compte;18;existant remboursé;meubles/équipement;2515;<100;1<=X<4;3;homme célibataire;aucun;4;immobilier;43;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;21;critique/autre crédit existant;meubles/équipement;2745;>=1000;4<=X<7;3;homme célibataire;aucun;2;voiture;32;aucun;propriétaire;2;qualifié;1;oui;oui;bon
